entity_id,country,location_name,month,valid_pairs,bias_mm,mae_mm,rmse_mm,smape_pct,pearson_corr,spearman_corr,wet_day_agreement_pct,wet_day_cohen_kappa,wet_day_jaccard,mean_daily_rainfall_mm,mean_abs_diff_relative_to_mean,high_gap_10mm_ratio,high_gap_20mm_ratio,month_name
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,4,180.0,-2.0756666666666668,2.9765555555555556,6.377157325607983,116.15114906035102,0.47225397473843866,0.6736699834831917,67.77777777777779,0.3354551241247613,0.3695652173913043,2.6288333333333336,1.132272448268541,0.08888888888888889,0.022222222222222223,Apr
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,5,186.0,-2.447204301075269,6.917741935483872,10.986887932968687,102.99912386185743,0.35053769594672135,0.574676424274089,79.56989247311827,0.4632442284325635,0.7610062893081762,7.376935483870969,0.9377528039483555,0.23118279569892472,0.08064516129032258,May
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,6,180.0,0.024666666666666337,9.264000000000001,16.39709808336693,98.12063151797771,0.21882731210219336,0.36949115956793077,81.11111111111111,0.19047619047619072,0.8034682080924855,9.724555555555554,0.9526399377455269,0.2777777777777778,0.08333333333333333,Jun
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,7,186.0,-2.124139784946237,7.412956989247312,9.78350875444935,87.2130814104228,0.3965708076716765,0.4054426547810129,86.55913978494624,0.17757339936328279,0.8626373626373627,9.858897849462364,0.7519052435358845,0.25268817204301075,0.04838709677419355,Jul
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,8,186.0,-3.8316129032258064,7.486451612903226,10.918729887930711,88.65178305363855,0.253565545283313,0.41667820638928693,84.94623655913979,0.1955514365152921,0.8453038674033149,8.729354838709678,0.8576179741081771,0.25268817204301075,0.08602150537634409,Aug
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,9,180.0,-5.492944444444444,7.8822777777777775,10.47712723030507,81.74084505655466,0.3607031066359068,0.31917164838290457,88.88888888888889,0.0,0.8888888888888888,10.756861111111112,0.7327674584273611,0.31666666666666665,0.06666666666666667,Sep
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,10,186.0,-1.4719892473118281,8.04779569892473,13.142984943528104,86.14526406018008,0.2277942284492408,0.3628186469460719,87.63440860215054,0.3102225088681074,0.8715083798882681,10.551639784946236,0.7627056895596092,0.2903225806451613,0.06451612903225806,Oct
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,11,180.0,-1.592,4.479666666666666,6.911201535671396,109.02443838774755,0.34040290442634275,0.5766016190798509,75.55555555555556,0.46774193548387094,0.6811594202898551,4.572888888888889,0.9796141508208637,0.14444444444444443,0.011111111111111112,Nov
SEA_VN_HO_CHI_MINH,Vietnam,Ho Chi Minh City,12,186.0,-0.5690860215053763,2.04747311827957,4.8078009526185665,119.91478070142911,0.4458481492774599,0.6070511167857399,79.56989247311827,0.45664206642066396,0.4153846153846154,1.8563172043010754,1.102975888190128,0.05913978494623656,0.016129032258064516,Dec
SEA_ID_JAKARTA,Indonesia,Jakarta,1,186.0,-0.16973118279569904,8.31241935483871,13.103507676987114,74.41528982789083,0.35332360888929704,0.5604501154866228,91.93548387096774,0.31516936671575774,0.9175824175824175,11.043091397849462,0.752725758993967,0.3010752688172043,0.08064516129032258,Jan
SEA_ID_JAKARTA,Indonesia,Jakarta,2,170.0,4.300529411764706,9.198764705882352,15.934820123018056,73.93098157927353,0.3917795782485287,0.519484636191202,90.58823529411765,-0.021021021021019874,0.9058823529411765,12.989088235294115,0.7081917174277992,0.2529411764705882,0.11764705882352941,Feb
SEA_ID_JAKARTA,Indonesia,Jakarta,3,186.0,0.119462365591398,7.053440860215054,10.721012480272119,78.37399795850591,0.27365452023519643,0.31210435544226073,89.24731182795699,0.10962182862613704,0.8913043478260869,9.32478494623656,0.7564186091289291,0.21505376344086022,0.053763440860215055,Mar
SEA_ID_JAKARTA,Indonesia,Jakarta,4,180.0,-0.45927777777777784,5.861722222222221,9.340971130812184,80.85768496291277,0.21571163019276252,0.32914186827745145,87.77777777777777,0.1610169491525418,0.8757062146892656,7.07425,0.8285998121912035,0.18888888888888888,0.05,Apr
SEA_ID_JAKARTA,Indonesia,Jakarta,5,186.0,-1.1450537634408604,5.290430107526881,9.54300436225744,89.8417358631457,0.21011792154148323,0.40388163179571346,81.72043010752688,0.4145528605813742,0.7964071856287425,5.733924731182795,0.9226542646842376,0.14516129032258066,0.043010752688172046,May
SEA_ID_JAKARTA,Indonesia,Jakarta,6,180.0,-0.8728333333333335,4.421499999999999,7.476180657409385,89.28007853769162,0.22537526444281947,0.43835797938972737,78.33333333333333,0.3007968127490038,0.7636363636363637,4.906916666666667,0.9010750129780597,0.1111111111111111,0.03333333333333333,Jun
SEA_ID_JAKARTA,Indonesia,Jakarta,7,186.0,0.37532258064516133,3.1132795698924727,7.159801125068882,110.01129660420716,0.4257056116411782,0.7060981365841356,80.10752688172043,0.6008583690987124,0.6509433962264151,3.2951881720430105,0.9447956858310308,0.06989247311827956,0.03763440860215054,Jul
SEA_ID_JAKARTA,Indonesia,Jakarta,8,186.0,-0.7359139784946236,2.1594623655913985,5.232770807381176,102.51113235880042,0.5063472503178598,0.7917954429158465,80.10752688172043,0.5984362235966857,0.6336633663366337,2.6933333333333334,0.8017805809862443,0.04838709677419355,0.010752688172043012,Aug
SEA_ID_JAKARTA,Indonesia,Jakarta,9,180.0,-0.5520555555555556,3.058611111111111,5.63609404739764,94.06019474992289,0.4943668256932319,0.6826135539093464,76.11111111111111,0.5012886597938143,0.6692307692307692,3.9023055555555555,0.7837959039298943,0.07777777777777778,0.027777777777777776,Sep
SEA_ID_JAKARTA,Indonesia,Jakarta,10,186.0,-0.7694623655913979,4.366666666666667,6.703502454783643,93.1469216597189,0.4727611158840529,0.6073791938622598,77.41935483870968,0.3934782608695653,0.7391304347826086,5.603440860215053,0.7792830824522696,0.12903225806451613,0.016129032258064516,Oct
SEA_ID_JAKARTA,Indonesia,Jakarta,11,180.0,-0.5533333333333333,6.615444444444446,10.2777288347183,86.21431105497356,0.1370973418415734,0.3054187377216488,87.77777777777777,0.20513849859494196,0.875,7.747777777777777,0.853850566360467,0.19444444444444445,0.06666666666666667,Nov
SEA_ID_JAKARTA,Indonesia,Jakarta,12,186.0,-0.35107526881720436,5.919569892473118,8.316014088647316,79.85330588577129,0.311008423908365,0.4414000206889539,90.86021505376344,0.2894382022471911,0.9065934065934066,8.431451612903226,0.702081938383174,0.1774193548387097,0.03763440860215054,Dec
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,1,186.0,0.10430107526881709,5.845698924731184,9.439180755411634,101.71766458230422,0.593517928128487,0.6140792936061604,75.26881720430107,0.3882453882453883,0.7070063694267515,7.618817204301075,0.7672711875360156,0.22580645161290322,0.043010752688172046,Jan
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,2,170.0,0.22441176470588234,5.3580588235294115,9.381965835643214,112.28507854302396,0.3929458439883332,0.4987161455584463,65.88235294117646,0.2641791044776119,0.5766423357664233,5.436911764705882,0.9854967405073874,0.18235294117647058,0.041176470588235294,Feb
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,3,186.0,0.4553225806451613,6.943279569892473,11.65445779773301,100.11752171196665,0.35087749521372075,0.44917627376814107,79.56989247311827,0.3608247422680409,0.7738095238095238,7.568521505376344,0.9173891577163233,0.1989247311827957,0.08602150537634409,Mar
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,4,180.0,-1.938,6.952999999999999,10.26030663392777,83.87244332254534,0.31087442853969754,0.35118044186149344,87.22222222222223,0.27368421052631586,0.867816091954023,8.975444444444443,0.7746691589773081,0.2111111111111111,0.044444444444444446,Apr
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,5,186.0,-1.6013978494623657,7.099892473118279,10.228290358408582,104.3670791446512,0.3641321066651187,0.34476473912397265,76.34408602150538,0.2578890097932534,0.7426900584795322,7.571344086021505,0.9377321109059923,0.21505376344086022,0.06989247311827956,May
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,6,180.0,0.03666666666666648,6.322666666666667,10.054017494403805,103.90549728266585,0.22220543864785486,0.3900138133178178,75.0,0.3135593220338982,0.71875,6.632777777777778,0.953245665322402,0.18333333333333332,0.05,Jun
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,7,186.0,0.1993548387096772,4.761720430107527,8.320675311199723,110.52096074724737,0.4849065124713032,0.6435459484570989,73.11827956989248,0.41064638783269963,0.6575342465753424,5.5448387096774185,0.8587662650922776,0.15053763440860216,0.04838709677419355,Jul
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,8,186.0,-1.91,6.30763440860215,9.288996959636117,102.06288390955595,0.4852333103330173,0.37505543203571984,70.43010752688173,0.0677966101694918,0.6892655367231638,7.509516129032258,0.8399521752641943,0.22043010752688172,0.043010752688172046,Aug
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,9,180.0,-1.257222222222222,6.902666666666667,11.162618768809486,99.94054251587717,0.3695583230200501,0.4081966625735565,75.55555555555556,0.22716627634660416,0.7365269461077845,7.979166666666667,0.8650861617714775,0.21666666666666667,0.06111111111111111,Sep
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,10,186.0,0.26629032258064517,6.924462365591397,10.851448865157051,99.6393108369134,0.2847533149051218,0.37756153833025086,77.95698924731182,0.36077116512992435,0.7530120481927711,7.495510752688172,0.9238146129247043,0.23655913978494625,0.0913978494623656,Oct
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,11,180.0,0.6835555555555557,8.351777777777778,11.566213055466532,83.72372237143391,0.5104787166912387,0.3641758292177322,87.22222222222223,0.13965087281795568,0.8700564971751412,12.402888888888889,0.6733735867444829,0.3055555555555556,0.09444444444444444,Nov
SEA_MY_KUALA_LUMPUR,Malaysia,Kuala Lumpur,12,186.0,0.7687096774193548,10.493655913978495,16.656169156433958,99.09861983321191,0.45212880203367295,0.44201228876737864,82.25806451612904,0.1352493660185974,0.8176795580110497,12.316612903225808,0.851992020499251,0.3225806451612903,0.15591397849462366,Dec
SEA_PH_MANILA,Philippines,Manila,1,186.0,4.543064516129032,4.849086021505376,8.683246042117947,134.7538752591184,0.6444187452175463,0.5831690241705212,58.06451612903226,0.2082514734774068,0.5,4.350026881720431,1.1147255298047358,0.12903225806451613,0.043010752688172046,Jan
SEA_PH_MANILA,Philippines,Manila,2,170.0,6.436999999999999,7.176882352941176,22.336997309923493,137.79223145353856,0.10279451325143715,0.5307432982789956,57.647058823529406,0.2522907758094074,0.4098360655737705,5.0996764705882365,1.4073211100597558,0.11764705882352941,0.07058823529411765,Feb
SEA_PH_MANILA,Philippines,Manila,3,186.0,4.582258064516129,5.080430107526881,15.632408643584007,128.9805993318722,0.0625034150961965,0.509873190041831,61.82795698924731,0.27765014768624874,0.37719298245614036,3.4180107526881724,1.4863704281927408,0.0967741935483871,0.05913978494623656,Mar
SEA_PH_MANILA,Philippines,Manila,4,180.0,4.1211666666666655,5.2705,17.536679544441828,119.40789255021367,0.10349958663959569,0.5332920587453924,72.22222222222221,0.4487320837927233,0.5614035087719298,3.826694444444444,1.3772983641989915,0.08333333333333333,0.05,Apr
SEA_PH_MANILA,Philippines,Manila,5,186.0,0.7802688172043009,3.819731182795699,6.678503752008483,96.79005376695319,0.8576845834443247,0.4901926277112079,66.66666666666666,0.2106776180698153,0.6219512195121951,5.667016129032257,0.674028641378502,0.06989247311827956,0.016129032258064516,May
SEA_PH_MANILA,Philippines,Manila,6,180.0,0.8670555555555558,8.060833333333333,13.790390998404972,82.18698085517556,0.2445095963706658,0.3855986730839135,85.55555555555556,0.3389830508474572,0.847953216374269,9.756305555555556,0.8262178020774489,0.25,0.08888888888888889,Jun
SEA_PH_MANILA,Philippines,Manila,7,186.0,-0.37795698924731197,7.833763440860214,12.2033245514297,72.11669101176146,0.7004881820555567,0.5500614281552754,89.24731182795699,0.23895253682487735,0.8901098901098901,13.672849462365589,0.5729430037132819,0.27419354838709675,0.08064516129032258,Jul
SEA_PH_MANILA,Philippines,Manila,8,186.0,-1.2167204301075267,5.300806451612903,8.381872240619307,74.3369604427311,0.6102624442126932,0.5722760320251572,86.02150537634408,0.33000831255195384,0.8531073446327684,8.642177419354839,0.613364687367788,0.15053763440860216,0.03763440860215054,Aug
SEA_PH_MANILA,Philippines,Manila,9,180.0,0.2447777777777778,5.945555555555554,8.346027265178991,65.58323699479922,0.8018605507526656,0.6291587384485517,90.0,0.2541436464088396,0.8977272727272727,11.66738888888889,0.5095875016824072,0.2,0.022222222222222223,Sep
SEA_PH_MANILA,Philippines,Manila,10,186.0,7.190215053763441,10.636559139784946,19.075333168358316,90.5275470791117,0.6404150764289824,0.5275895604797382,88.17204301075269,0.167277167277167,0.8797814207650273,13.046720430107527,0.8152668861075623,0.27419354838709675,0.13440860215053763,Oct
SEA_PH_MANILA,Philippines,Manila,11,180.0,9.073055555555555,11.248722222222224,20.139149422069554,122.37077327604244,0.5266019286761751,0.4298645355675527,71.66666666666667,0.26606971538215546,0.6890243902439024,9.770416666666668,1.1513042488195746,0.31666666666666665,0.12777777777777777,Nov
SEA_PH_MANILA,Philippines,Manila,12,186.0,9.74064516129032,10.436559139784945,17.053665705017636,128.9137356627982,0.501349883189539,0.533042718249917,62.365591397849464,0.12781350482315107,0.6,9.135376344086023,1.1424334089310768,0.3655913978494624,0.16666666666666666,Dec
