entity_id,country,location_name,year_month,year,month,monthly_precip_mm,monthly_nasa_precip_mm,monthly_open_meteo_precip_mm,mean_daily_source_abs_diff_mm,rainy_days,heavy_rain_days,monthly_source_bias_mm
SEA_TH_BANGKOK,Thailand,Bangkok,2020-04-01,2020,4,70.15,72.7,67.6,1.9740000000000002,14,0,5.1000000000000085
SEA_TH_BANGKOK,Thailand,Bangkok,2020-05-01,2020,5,68.555,83.81,53.3,1.651290322580645,19,0,30.510000000000005
SEA_TH_BANGKOK,Thailand,Bangkok,2020-06-01,2020,6,187.03,225.76,148.3,6.521333333333333,25,1,77.45999999999998
SEA_TH_BANGKOK,Thailand,Bangkok,2020-07-01,2020,7,182.74,222.07999999999998,143.4,4.532903225806452,29,0,78.67999999999998
SEA_TH_BANGKOK,Thailand,Bangkok,2020-08-01,2020,8,182.385,200.47,164.3,3.917741935483871,28,0,36.16999999999999
SEA_TH_BANGKOK,Thailand,Bangkok,2020-09-01,2020,9,277.15999999999997,305.62,248.7,5.4126666666666665,29,3,56.920000000000016
SEA_TH_BANGKOK,Thailand,Bangkok,2020-10-01,2020,10,435.51,392.02,479.0,9.551612903225807,23,8,-86.98000000000002
SEA_TH_BANGKOK,Thailand,Bangkok,2020-11-01,2020,11,40.855,33.41,48.3,1.605,8,0,-14.89
SEA_TH_BANGKOK,Thailand,Bangkok,2020-12-01,2020,12,8.015,1.73,14.3,0.40548387096774197,2,0,-12.57
SEA_TH_BANGKOK,Thailand,Bangkok,2021-01-01,2021,1,1.1,0.0,2.2,0.07096774193548387,0,0,-2.2
SEA_TH_BANGKOK,Thailand,Bangkok,2021-02-01,2021,2,24.34,22.28,26.400000000000002,0.7021428571428572,4,0,-4.120000000000001
SEA_TH_BANGKOK,Thailand,Bangkok,2021-03-01,2021,3,28.599999999999998,21.9,35.3,0.7445161290322582,4,0,-13.399999999999999
SEA_TH_BANGKOK,Thailand,Bangkok,2021-04-01,2021,4,165.295,166.19,164.4,4.197666666666667,25,0,1.789999999999992
SEA_TH_BANGKOK,Thailand,Bangkok,2021-05-01,2021,5,120.075,131.85,108.3,3.426774193548387,23,0,23.549999999999997
SEA_TH_BANGKOK,Thailand,Bangkok,2021-06-01,2021,6,104.935,111.97,97.89999999999999,3.287,24,0,14.070000000000007
SEA_TH_BANGKOK,Thailand,Bangkok,2021-07-01,2021,7,245.685,231.27,260.1,4.088709677419355,28,1,-28.830000000000013
SEA_TH_BANGKOK,Thailand,Bangkok,2021-08-01,2021,8,212.815,208.43,217.2,4.7777419354838715,27,1,-8.769999999999982
SEA_TH_BANGKOK,Thailand,Bangkok,2021-09-01,2021,9,335.105,335.21,335.0,6.177666666666667,29,3,0.20999999999997954
SEA_TH_BANGKOK,Thailand,Bangkok,2021-10-01,2021,10,259.045,228.79,289.3,7.100322580645161,27,3,-60.51000000000002
SEA_TH_BANGKOK,Thailand,Bangkok,2021-11-01,2021,11,78.99,36.08,121.9,3.6013333333333333,15,0,-85.82000000000001
SEA_TH_BANGKOK,Thailand,Bangkok,2021-12-01,2021,12,6.6499999999999995,3.8,9.5,0.19806451612903228,2,0,-5.7
SEA_TH_BANGKOK,Thailand,Bangkok,2022-01-01,2022,1,25.465,15.629999999999999,35.3,1.2641935483870967,4,0,-19.669999999999998
