entity_id,date,country,location_name,canonical_latitude,canonical_longitude,nasa_power_precipitation_mm,nasa_power_temp_mean_c,nasa_power_temp_max_c,nasa_power_temp_min_c,nasa_power_relative_humidity_pct,nasa_power_wind_speed_ms,nasa_power_surface_pressure_kpa,open_meteo_precipitation_mm,open_meteo_temp_mean_c,open_meteo_temp_max_c,open_meteo_temp_min_c,open_meteo_relative_humidity_pct,open_meteo_wind_speed_ms,open_meteo_surface_pressure_kpa,precipitation_mm_mean_two_sources,precipitation_mm_abs_diff
SEA_ID_JAKARTA,2025-05-12,Indonesia,Jakarta,-6.2088,106.8456,3.39,28.55,31.38,26.07,79.17,2.17,100.58,1.1,28.1,31.8,25.4,81.0,1.3056,100.62,2.245,2.29
SEA_ID_JAKARTA,2025-05-13,Indonesia,Jakarta,-6.2088,106.8456,4.93,28.72,31.25,26.49,80.0,1.4,100.63,17.7,27.4,32.5,24.1,83.0,1.2222,100.76,11.315,12.77
SEA_ID_JAKARTA,2025-05-14,Indonesia,Jakarta,-6.2088,106.8456,2.95,28.57,29.97,27.47,80.42,0.97,100.75,5.2,27.6,31.5,25.0,82.0,0.9167,100.82,4.075,2.25
SEA_ID_JAKARTA,2025-05-15,Indonesia,Jakarta,-6.2088,106.8456,4.74,28.23,30.06,26.71,81.34,1.42,100.78,14.3,27.9,31.9,24.2,81.0,1.2778,100.8,9.52,9.56
SEA_ID_JAKARTA,2025-05-16,Indonesia,Jakarta,-6.2088,106.8456,18.51,28.4,30.3,27.29,81.72,1.57,100.75,14.9,27.6,32.8,24.8,82.0,0.9444,100.78,16.705000000000002,3.610000000000001
SEA_ID_JAKARTA,2025-05-17,Indonesia,Jakarta,-6.2088,106.8456,44.38,28.85,31.34,26.64,79.3,1.92,100.72,16.8,27.3,32.7,25.1,85.0,0.8056,100.76,30.590000000000003,27.580000000000002
SEA_ID_JAKARTA,2025-05-18,Indonesia,Jakarta,-6.2088,106.8456,4.66,28.71,30.57,26.54,78.69,1.26,100.74,0.1,28.3,32.3,25.3,78.0,1.0833,100.74,2.38,4.5600000000000005
SEA_ID_JAKARTA,2025-05-19,Indonesia,Jakarta,-6.2088,106.8456,7.05,28.73,30.73,26.94,77.12,1.29,100.73,0.0,28.6,32.1,25.5,74.0,1.0,100.73,3.525,7.05
SEA_ID_JAKARTA,2025-05-20,Indonesia,Jakarta,-6.2088,106.8456,1.89,28.75,30.89,26.67,79.96,1.95,100.68,0.1,29.7,34.2,26.2,66.0,1.3889,100.66,0.995,1.7899999999999998
SEA_ID_JAKARTA,2025-05-21,Indonesia,Jakarta,-6.2088,106.8456,27.11,28.25,29.09,27.59,85.71,2.01,100.61,32.1,27.1,32.5,25.1,83.0,1.1667,100.68,29.605,4.990000000000002
