sample_id,entity_id,date,split,country,location_name,feature_canonical_latitude,feature_canonical_longitude,feature_month_sin,feature_month_cos,feature_day_of_year_sin,feature_day_of_year_cos,feature_rainfall_lag_1d_mm,feature_rainfall_lag_7d_mm,feature_rainfall_lag_30d_mm,feature_rainfall_rolling_7d_mean_prev_mm,feature_rainfall_rolling_30d_sum_prev_mm,feature_rainfall_rolling_90d_mean_prev_mm,feature_wet_spell_days_prev,feature_dry_spell_days_prev,feature_was_wet_previous_day,feature_rainfall_lag_1d_mm_was_imputed,feature_rainfall_lag_7d_mm_was_imputed,feature_rainfall_lag_30d_mm_was_imputed,feature_rainfall_rolling_7d_mean_prev_mm_was_imputed,feature_rainfall_rolling_30d_sum_prev_mm_was_imputed,feature_rainfall_rolling_90d_mean_prev_mm_was_imputed,feature_wet_spell_days_prev_was_imputed,feature_dry_spell_days_prev_was_imputed,feature_was_wet_previous_day_was_imputed
SEA_VN_HO_CHI_MINH__20210701,SEA_VN_HO_CHI_MINH,2021-07-01,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,0.0171663297547073,-0.9998526477050268,5.225,4.955,3.105,2.7057142857142864,191.995,7.044777777777779,3.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210702,SEA_VN_HO_CHI_MINH,2021-07-02,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,1.2246467991473532e-16,-1.0,2.105,1.78,3.285,2.2985714285714294,190.995,7.001,4.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210703,SEA_VN_HO_CHI_MINH,2021-07-03,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.0171663297547071,-0.9998526477050268,0.125,0.405,2.305,2.062142857142858,187.835,6.965611111111112,0.0,1.0,0.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210704,SEA_VN_HO_CHI_MINH,2021-07-04,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.0343276005132431,-0.9994106342455054,1.505,0.455,0.165,2.219285714285715,187.035,6.9365555555555565,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210705,SEA_VN_HO_CHI_MINH,2021-07-05,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.051478754770346,-0.9986740898848304,4.335,2.95,4.58,2.773571428571429,191.205,6.9832777777777775,2.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210706,SEA_VN_HO_CHI_MINH,2021-07-06,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.0686147380021343,-0.9976432316860064,13.47,3.17,4.04,4.276428571428573,200.095,7.132722222222223,3.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210707,SEA_VN_HO_CHI_MINH,2021-07-07,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.0857305001556945,-0.9963183634476755,21.125,5.225,12.515,6.8414285714285725,217.18,7.366833333333333,4.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210708,SEA_VN_HO_CHI_MINH,2021-07-08,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.1028209971373604,-0.9946998756145892,17.55,2.105,10.095,8.602142857142857,222.215,7.552444444444445,5.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210709,SEA_VN_HO_CHI_MINH,2021-07-09,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.1198811922992271,-0.99278824516254,27.8,0.125,7.045,12.272857142857143,239.92,7.807611111111112,6.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210710,SEA_VN_HO_CHI_MINH,2021-07-10,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.136906057923475,-0.990584035457797,12.375,1.505,15.88,14.022857142857143,245.25,7.934222222222223,7.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210711,SEA_VN_HO_CHI_MINH,2021-07-11,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.1538905767040614,-0.9880878960910772,4.8,4.335,8.445,14.49357142857143,234.17,7.9832777777777775,8.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210712,SEA_VN_HO_CHI_MINH,2021-07-12,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.1708297432253441,-0.985300562686109,3.365,13.47,13.2,14.355000000000002,229.09,8.014388888888888,9.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210713,SEA_VN_HO_CHI_MINH,2021-07-13,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.1877185654371986,-0.9822228566828408,4.495,21.125,6.735,13.072857142857144,220.385,8.012166666666667,10.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210714,SEA_VN_HO_CHI_MINH,2021-07-14,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.2045520661262005,-0.978855685095358,9.735,17.55,2.065,11.445714285714288,223.385,7.959833333333333,11.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210715,SEA_VN_HO_CHI_MINH,2021-07-15,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.2213252843824321,-0.9752000402445826,20.85,27.8,22.53,11.91714285714286,242.17,7.979722222222223,12.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210716,SEA_VN_HO_CHI_MINH,2021-07-16,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.2380332770614851,-0.9712569994658315,30.97,12.375,4.58,12.37,250.61,8.213111111111111,13.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210717,SEA_VN_HO_CHI_MINH,2021-07-17,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.254671120241229,-0.9670277247913204,1.91,4.8,0.3249999999999999,10.875,247.94,8.162722222222222,14.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210718,SEA_VN_HO_CHI_MINH,2021-07-18,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.2712339106729102,-0.962513462607708,4.21,3.365,1.465,10.790714285714287,251.825,8.131055555555557,15.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210719,SEA_VN_HO_CHI_MINH,2021-07-19,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.287716767226167,-0.9577155432887804,12.17,4.495,7.125,12.04857142857143,262.53000000000003,8.189944444444444,16.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210720,SEA_VN_HO_CHI_MINH,2021-07-20,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.3041148323275178,-0.9526353808033826,4.17,9.735,13.225,12.00214285714286,259.575,8.2,17.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210721,SEA_VN_HO_CHI_MINH,2021-07-21,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.3204232733919109,-0.947274472298717,6.02,20.85,8.780000000000001,11.471428571428572,252.37,8.188055555555556,18.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210722,SEA_VN_HO_CHI_MINH,2021-07-22,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.3366372842469099,-0.941634397659126,6.095000000000001,30.97,16.35,9.36357142857143,249.685,8.125222222222222,19.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210723,SEA_VN_HO_CHI_MINH,2021-07-23,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.3527520865490947,-0.9357168190404936,1.945,1.91,5.215,5.217142857142858,235.28,8.003944444444445,20.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210724,SEA_VN_HO_CHI_MINH,2021-07-24,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.36876293119226,-0.9295234803804004,3.37,4.21,4.955,5.425714285714286,233.435,8.013388888888889,21.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210725,SEA_VN_HO_CHI_MINH,2021-07-25,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.3846650997070009,-0.923056206884176,2.755,12.17,1.78,5.217857142857143,231.235,7.993833333333334,22.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210726,SEA_VN_HO_CHI_MINH,2021-07-26,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.4004539056512661,-0.9163169044870048,8.280000000000001,4.17,0.405,4.662142857142858,237.735,7.94088888888889,23.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210727,SEA_VN_HO_CHI_MINH,2021-07-27,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.4161246959914748,-0.9093075592922356,4.145,6.02,0.455,4.658571428571429,241.475,7.717,24.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210728,SEA_VN_HO_CHI_MINH,2021-07-28,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.431672852473784,-0.9020302369860708,8.14,6.095000000000001,2.95,4.961428571428573,249.16,7.736111111111111,25.0,0.0,1.0,0,0,0,0,0,0,0,0,0
SEA_VN_HO_CHI_MINH__20210729,SEA_VN_HO_CHI_MINH,2021-07-29,train,Vietnam,Ho Chi Minh City,10.8231,106.6297,-0.4999999999999997,-0.8660254037844388,-0.447093792985114,-0.8944870822287955,10.94,1.945,3.17,5.65357142857143,257.15,7.857055555555555,26.0,0.0,1.0,0,0,0,0,0,0,0,0,0
